name,description,rating,source,url,validated,source_count,verification_status,business_status,permanently_closed,google_name,google_address,google_rating,google_rating_count,price_level,open_now,current_hours,place_types,api_source_type,last_verified,google_place_id,verification_error
Altius,Highly-rated fine dining restaurants - 4.7/5.0 stars (1868 reviews),4.7/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJWdAveK_2NIgRLTc86K9aJpk,True,1,VERIFIED,OPERATIONAL,False,Altius,"1230 Grandview Ave, Pittsburgh, PA 15211, USA",4.7,1868,4,False,"['Monday: 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",[],Fine dining restaurants,2025-08-13T11:52:38.940405,ChIJWdAveK_2NIgRLTc86K9aJpk,
Villa Ballanca,Highly-rated italian restaurants - 4.7/5.0 stars (1359 reviews),4.7/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJd2lImPm9NIgRCDZuoir4RMc,True,1,VERIFIED,OPERATIONAL,False,Villa Ballanca,"2740 Leechburg Rd, Lower Burrell, PA 15068, USA",4.7,1359,2,True,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:00\u202fPM']",[],Italian restaurants,2025-08-13T11:52:39.914145,ChIJd2lImPm9NIgRCDZuoir4RMc,
Alla Famiglia,Highly-rated fine dining restaurants - 4.7/5.0 stars (1332 reviews),4.7/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJY4oV6DjxNIgRmaNZyV7lqY8,True,1,VERIFIED,OPERATIONAL,False,Alla Famiglia,"804 E Warrington Ave, Pittsburgh, PA 15210, USA",4.7,1332,4,False,"['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200911:00\u202fPM', 'Saturday: 4:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",[],Fine dining restaurants,2025-08-13T11:52:40.828524,ChIJY4oV6DjxNIgRmaNZyV7lqY8,
Fig & Ash,Highly-rated fine dining restaurants - 4.7/5.0 stars (805 reviews),4.7/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJU-E_KhvzNIgRfi53Eoj79i8,True,1,VERIFIED,OPERATIONAL,False,Fig & Ash,"514 E Ohio St, Pittsburgh, PA 15212, USA",4.7,805,3,False,"['Monday: Closed', 'Tuesday: 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",[],Fine dining restaurants,2025-08-13T11:52:41.843084,ChIJU-E_KhvzNIgRfi53Eoj79i8,
Eighty Acres Kitchen & Bar,Highly-rated farm-to-table restaurants - 4.7/5.0 stars (602 reviews),4.7/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJtZjVqbfBNIgR3vIzrzMTvSM,True,1,VERIFIED,OPERATIONAL,False,Eighty Acres Kitchen & Bar,"1910 New Texas Rd, Pittsburgh, PA 15239, USA",4.7,602,2,False,"['Monday: Closed', 'Tuesday: 3:00\u2009–\u20098:00\u202fPM', 'Wednesday: 3:00\u2009–\u20098:00\u202fPM', 'Thursday: 3:00\u2009–\u20098:00\u202fPM', 'Friday: 3:00\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: 3:00\u2009–\u20098:00\u202fPM']",[],Farm-to-table restaurants,2025-08-13T11:52:42.831693,ChIJtZjVqbfBNIgR3vIzrzMTvSM,
DiAnoia's Eatery,Highly-rated italian restaurants - 4.6/5.0 stars (2193 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJR-ud98TzNIgREwnaG2ksz6k,True,1,VERIFIED,OPERATIONAL,False,DiAnoia's Eatery,"2549 Penn Ave, Pittsburgh, PA 15222, USA",4.6,2193,2,True,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 3:00\u2009–\u20098:00\u202fPM']",[],Italian restaurants,2025-08-13T11:52:43.961367,ChIJR-ud98TzNIgREwnaG2ksz6k,
The Capital Grille,Highly-rated mid-to-upscale restaurants - 4.6/5.0 stars (1781 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJGfCWEFfxNIgRKdud4avVJZk,True,1,VERIFIED,OPERATIONAL,False,The Capital Grille,"301 Fifth Ave, Pittsburgh, PA 15222, USA",4.6,1781,4,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 4:00\u2009–\u20099:00\u202fPM']",[],Mid-to-upscale restaurants,2025-08-13T11:52:44.987713,ChIJGfCWEFfxNIgRKdud4avVJZk,
Hyde Park Prime Steakhouse,Highly-rated fine dining restaurants - 4.6/5.0 stars (1055 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJw7NZi__zNIgRwcp5kxJAErk,True,1,VERIFIED,OPERATIONAL,False,Hyde Park Prime Steakhouse,"247 N Shore Dr, Pittsburgh, PA 15212, USA",4.6,1055,4,False,"['Monday: 4:30\u2009–\u20099:30\u202fPM', 'Tuesday: 4:30\u2009–\u20099:30\u202fPM', 'Wednesday: 4:30\u2009–\u20099:30\u202fPM', 'Thursday: 4:30\u2009–\u20099:30\u202fPM', 'Friday: 4:30\u2009–\u200910:30\u202fPM', 'Saturday: 4:00\u2009–\u200910:30\u202fPM', 'Sunday: 4:00\u2009–\u20099:00\u202fPM']",[],Fine dining restaurants,2025-08-13T11:52:46.006862,ChIJw7NZi__zNIgRwcp5kxJAErk,
Pasqualino's Italian Restaurant,Highly-rated italian restaurants - 4.6/5.0 stars (982 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJVTx06mXrNIgR4JR8VsBvuIE,True,1,VERIFIED,OPERATIONAL,False,Pasqualino's Italian Restaurant,"13032 Frankstown Rd, Penn Hills Township, PA 15235, USA",4.6,982,1,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20099:00\u202fPM']",[],Italian restaurants,2025-08-13T11:52:47.036194,ChIJVTx06mXrNIgR4JR8VsBvuIE,
Sarafino's Homestyle Italian,Highly-rated italian restaurants - 4.6/5.0 stars (962 reviews),4.6/5.0,Google Places API,https://maps.google.com/maps?place_id=ChIJY1dSRm_2NIgRlCbmm8aZDR0,True,1,VERIFIED,OPERATIONAL,False,Sarafino's Homestyle Italian,"40 E Crafton Ave, Pittsburgh, PA 15205, USA",4.6,962,2,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",[],Italian restaurants,2025-08-13T11:52:48.066390,ChIJY1dSRm_2NIgRlCbmm8aZDR0,
